UNIQ_ID;OBJECTID_1
52407520;619736
52409013;619742
52445226;620461
52460422;620795
52464863;620910
52463927;620930
52488865;621205
52495466;621253
52494545;621272
52495061;621302
52491427;621310
52490906;621323
52489465;621424
52537545;621679
52646416;622824
53359676;622826
52646944;622848
52646469;622850
52647863;622853
52648128;622864
52645612;622879
52646540;622881
52647925;622884
52652553;622893
52647521;622911
52649859;622915
52648201;622918
52651397;622966
53359813;622969
52652340;622990
52653798;623039
52652973;623060
52653899;623065
52653999;623090
53361227;623181
52657401;623186
53361307;623205
52656937;623208
52679374;623337
52679375;623338
52680685;623339
52682958;623430
52682478;623455
52684584;623521
52689368;623559
52689884;623561
52666829;623589
52665984;623608
52704299;623844
52716055;623981
52714347;624009
52718590;624024
52712581;624033
52717712;624046
52689537;624060
52693210;624074
52696478;624079
52690838;624151
52740263;624217
52760074;624288
52766792;624363
52792756;624422
52793758;624441
52797640;624501
52795419;624539
53021979;624870
53135665;625037
53145313;625131
53316603;625234
52404530;625279
52405472;625281
52407147;625293
52403297;625322
52406745;625355
52407238;625470
52409386;625515
52414076;625542
52409677;625620
53318330;625662
52408015;625697
53316211;625714
52431121;625993
52445347;626385
52451951;626421
52448829;626463
52465561;626688
52464654;626715
53326902;626788
53326455;626902
52492048;627096
53331810;627103
52495978;627120
52490333;627186
52492308;627258
52490471;627270
52489488;627389
52538944;627643
52553805;627938
52645048;628884
52648730;628945
52646922;628953
52646925;628954
52648189;628998
52649353;629002
52648023;629024
52648976;629048
52650814;629055
52647210;629069
52648057;629097
52653435;629228
52657662;629282
52431564;629342
52652165;629344
52657712;629358
52436361;629381
52656485;629406
52657759;629412
52656979;629443
52654700;629448
52657463;629456
52653771;629464
53364218;629493
52679413;629614
52677664;629642
52684905;629746
52685521;629793
52666867;629905
52662797;629935
52662337;629985
52663098;630016
52703455;630115
52703484;630131
53367887;630140
52702550;630152
52702033;630155
52703953;630183
52703370;630217
52704980;630259
52705402;630262
53371223;630291
52715955;630342
52716756;630420
52690424;630456
52732694;630591
52731857;630619
52733882;630640
52741829;630668
52768186;630854
53381530;630858
52769150;630861
52754873;630881
52753575;630894
52792260;630920
53385971;630937
52795294;631047
52795810;631082
52802039;631090
52799695;631111
52803370;631119
52802910;631130
52444454;631220
53419785;631315
52964299;631399
53424349;631444
53080927;631591
53443186;631662
53124327;631686
53114758;631801
53446251;631812
53171236;631870
51662596;632001
52427398;632017
53183128;632035
51664605;632039
52403363;632098
52405796;632111
52405304;632112
52406969;632139
52403333;632157
53315294;632158
52408445;632174
52410432;632175
53317277;632198
52407801;632204
53317400;632212
52416386;632223
53322376;632356
53322378;632357
52444759;632384
52446710;632387
52451984;632407
53327040;632464
52465130;632469
52462007;632490
53327174;632519
52460708;632530
52490126;632580
53332003;632604
52490426;632612
53331440;632618
52495445;632621
52489940;632628
52494523;632633
52496599;632638
52493630;632643
53331703;632659
52495550;632660
52464734;632808
52544498;632979
53354998;633133
52649169;633157
52645514;633161
52646470;633172
52646953;633176
53360524;633180
52648190;633185
52649824;633188
52651210;633191
52647034;633193
52649332;633198
52650939;633207
52646574;633213
52651395;633230
52656571;633247
52656067;633248
52460580;633255
52658469;633273
53361740;633274
52652031;633279
52656177;633281
52653039;633290
52659960;633306
52655069;633333
52657451;633339
52658330;633342
53361320;633345
52657480;633346
52669083;633350
53364221;633353
52667864;633360
52666947;633362
53364719;633386
52679079;633401
52684020;633409
52678326;633415
52682088;633438
53365957;633446
52684668;633467
52689424;633472
52665852;633478
52667298;633481
52665925;633491
53362509;633498
52661923;633499
52460184;633520
52662017;633533
52665234;633542
52703489;633560
52702575;633574
52702912;633577
52703960;633580
53369867;633586
52700734;633588
52703982;633589
53369915;633593
52704440;633599
52704405;633602
52719107;633669
52696887;633673
52695654;633692
53367457;633693
52694438;633703
52690353;633723
52729875;633727
53374172;633728
52734138;633730
52734917;633747
52718816;633756
52769158;633807
52793832;633834
52792919;633836
52793354;633841
53385893;633844
52794136;633850
52795766;633864
52799644;633868
52800090;633869
52797231;633870
52805711;633876
52961544;633901
52967303;633913
53417234;633914
53003067;633948
53104333;634021
53098849;634030
53105851;634040
53107238;634052
53152707;634087
53415700;634185
52489862;634465
52508869;634634
52489425;634689
52537880;634907
52559114;635277
52647465;636025
53358561;636060
52645580;636062
52646497;636063
52645587;636073
52645615;636076
52651221;636145
52649021;636209
52651846;636210
52649610;636211
52652047;636278
52652941;636296
52657520;636311
52652146;636394
52655015;636435
52657398;636475
52657405;636476
52652261;636496
52656988;636509
52676514;636640
52676732;636683
52686572;636871
52661314;636906
52660896;636924
52660469;636943
52661454;636946
52666465;636972
53362932;636989
52701981;637090
52702505;637107
53367977;637116
53368784;637119
53368804;637142
52703402;637197
52703903;637213
52714641;637304
52690328;637461
52733634;637478
53373996;637514
52734538;637526
53375326;637528
52740254;637532
52762065;637617
52760247;637628
52760058;637653
52765328;637667
52768264;637686
52792464;637746
52792409;637747
52795580;637803
53386657;637852
52794387;637870
52967974;638065
53000668;638077
53032140;638152
53036313;638158
53440086;638233
53104311;638249
53113577;638280
53169829;638423
52403911;638519
53315369;638573
52404998;638581
52403311;638623
52409353;638670
52413119;638673
52407830;638753
52436362;639082
52444855;639282
52439476;639337
53323992;639549
52444444;639550
52461842;639760
52460499;639805
52461488;639825
53326919;639921
52495153;640122
53331824;640126
52491010;640130
52491591;640177
52495467;640206
53332460;640247
52489971;640252
52490911;640267
52496862;640275
52489432;640385
52538957;640636
52537555;640642
52514378;640666
52559162;641009
52582624;641268
52648125;641774
53359906;641807
52648203;641822
52645687;641844
52650972;641915
52651848;641918
53360493;641932
52648690;641939
52656127;641976
52658446;641980
52653423;641988
52656615;642009
52653429;642033
52654412;642038
52656757;642110
52659133;642118
53360625;642128
52655597;642166
52658328;642173
52654647;642178
52667744;642217
52667002;642230
52679344;642291
52679117;642341
52678655;642345
52689403;642380
52683909;642394
53366541;642410
52684095;642416
52683628;642443
52684073;642444
53366343;642487
52663572;642542
52661723;642556
52661359;642565
52665044;642568
52666023;642599
52665624;642639
53368734;642735
52702913;642745
52699363;642771
52704160;642788
52705996;642827
52717359;642868
52715926;642893
53370446;642971
53367123;643057
52738928;643137
53375462;643139
52760814;643230
52769098;643269
52754639;643292
52754761;643302
52793849;643362
53385261;643416
52801966;643430
52794326;643434
52801525;643440
52802881;643480
53387506;643491
53387602;643502
53103413;643820
53171335;644017
52404505;644183
52405453;644215
52405944;644218
52408007;644292
52412251;644309
52408086;644318
52410433;644322
52408276;644401
52444320;644821
52438533;644980
52444457;645151
53323150;645153
53323544;645203
52464649;645375
52465097;645377
52459524;645397
52495912;645723
52494555;645821
52494567;645822
52489545;645847
52489466;645946
52581658;646814
52589207;646964
52650088;647302
52647784;647315
53360005;647317
52647880;647368
52648169;647383
52647919;647385
52648003;647387
52647011;647424
52649865;647435
53360396;647457
52651724;647463
52648533;647484
52656248;647666
52653501;647673
52652096;647688
52659121;647754
52657476;647809
52657483;647810
52678058;647952
52676686;647965
52677692;647980
